--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
101.580  000.007  000.007: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.620  000.003  000.003: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.651  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.668  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.685  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.729  000.023  000.023: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.750  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.773  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.789  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.806  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.823  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.847  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.862  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.881  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.896  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.912  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
101.925  000.011  000.011: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
103.638  000.212  000.212: require('lualine.utils.mode')
104.854  000.033  000.033: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
104.862  000.004  000.004: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
105.522  000.006  000.006: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
105.549  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
105.566  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
105.582  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
105.598  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
105.613  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
105.654  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.295  000.004  000.004: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.313  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.328  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.356  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.371  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.389  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.403  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.694  000.009  000.009: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.715  000.005  000.005: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.726  000.009  000.009: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.732  000.003  000.003: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
106.736  000.002  000.002: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
109.352  001.209  001.209: require('vim.filetype')
111.743  000.232  000.232: require('luasnip.util.types')
111.748  000.773  000.542: require('luasnip.util.ext_opts')
112.358  000.115  000.115: require('luasnip.util.lazy_table')
112.887  000.526  000.526: require('luasnip.extras.filetype_functions')
112.901  000.906  000.264: require('luasnip.default_config')
112.903  001.154  000.248: require('luasnip.session')
112.905  003.435  001.509: require('luasnip.config')
113.736  000.153  000.153: require('luasnip.util.vimversion')
113.745  000.370  000.216: require('luasnip.util.util')
114.477  000.313  000.313: require('luasnip.nodes.key_indexer')
114.611  000.132  000.132: require('luasnip.util.feedkeys')
114.628  000.882  000.436: require('luasnip.nodes.util')
115.087  000.145  000.145: require('luasnip.session.snippet_collection.source')
115.158  000.069  000.069: require('luasnip.util.table')
115.210  000.050  000.050: require('luasnip.util.auto_table')
115.216  000.587  000.322: require('luasnip.session.snippet_collection')
115.378  000.052  000.052: require('luasnip.util.select')
115.428  000.049  000.049: require('luasnip.util.time')
115.640  000.373  000.273: require('luasnip.util._builtin_vars')
115.699  000.482  000.109: require('luasnip.util.environ')
115.811  000.111  000.111: require('luasnip.util.extend_decorator')
116.269  000.228  000.228: require('luasnip.util.path')
116.415  000.072  000.072: require('luasnip.util.log')
116.418  000.148  000.075: require('luasnip.loaders.util')
116.472  000.053  000.053: require('luasnip.loaders.data')
116.599  000.126  000.126: require('luasnip.loaders.fs_watchers')
116.602  000.789  000.234: require('luasnip.loaders')
116.614  003.706  000.485: require('luasnip')
116.625  008.688  000.338: sourcing /home/christopher/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.lua
116.629  008.713  000.025: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
116.896  000.245  000.245: sourcing /home/christopher/.local/share/nvim/lazy/LuaSnip/plugin/luasnip.vim
116.898  000.264  000.019: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
116.902  000.001  000.001: sourcing nvim_exec2() called at /home/christopher/.config/nvim/init.lua:0
